"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"724","14:49:08,535802","192.168.200.103","192.168.200.77","49263","65001","HTTP/XML","699","POST / HTTP/1.1 "
"731","14:49:08,547249","192.168.200.77","192.168.200.103","65001","49263","HTTP/XML","865","HTTP/1.1 200 OK "
"740","14:49:08,565559","192.168.200.103","192.168.200.77","49264","65002","HTTP/XML","1729","POST /Printer1/WebServices HTTP/1.1 "
"751","14:49:08,581180","192.168.200.103","192.168.200.77","49266","65002","HTTP/XML","1082","POST /Printer1/WebServices HTTP/1.1 "
"755","14:49:08,590628","192.168.200.77","192.168.200.103","65002","49264","HTTP/XML","377","HTTP/1.1 200 OK "
"769","14:49:08,598472","192.168.200.77","192.168.200.103","65002","49266","HTTP/XML","563","HTTP/1.1 200 OK "
"773","14:49:08,598763","192.168.200.103","192.168.200.77","49268","65002","HTTP/XML","1728","POST /Printer1/WebServices HTTP/1.1 "
"788","14:49:08,612619","192.168.200.103","192.168.200.77","49270","65002","HTTP/XML","1077","POST /Printer1/WebServices HTTP/1.1 "
"799","14:49:08,616907","192.168.200.77","192.168.200.103","65002","49270","HTTP/XML","89","HTTP/1.1 200 OK "
"805","14:49:08,627053","192.168.200.77","192.168.200.103","65002","49268","HTTP/XML","377","HTTP/1.1 200 OK "
"811","14:49:08,628273","192.168.200.103","192.168.200.77","49272","65002","HTTP/XML","1252","POST /Printer1/WebServices HTTP/1.1 "
"826","14:49:08,643626","192.168.200.103","192.168.200.77","49274","65002","HTTP/XML","1730","POST /Printer1/WebServices HTTP/1.1 "
"853","14:49:08,670420","192.168.200.77","192.168.200.103","65002","49272","HTTP/XML","1235","HTTP/1.1 200 OK "
"864","14:49:08,689128","192.168.200.77","192.168.200.103","65002","49274","HTTP/XML","377","HTTP/1.1 200 OK "
"881","14:49:08,711086","192.168.200.103","192.168.200.77","49276","65002","HTTP/XML","1737","POST /Printer1/WebServices HTTP/1.1 "
"892","14:49:08,726710","192.168.200.77","192.168.200.103","65002","49276","HTTP/XML","377","HTTP/1.1 200 OK "
"906","14:49:08,737494","192.168.200.103","192.168.200.77","49278","65002","HTTP/XML","1719","POST /Printer1/WebServices HTTP/1.1 "
"913","14:49:08,754260","192.168.200.77","192.168.200.103","65002","49278","HTTP/XML","377","HTTP/1.1 200 OK "
"927","14:49:08,769326","192.168.200.103","192.168.200.77","49279","65002","HTTP/XML","1084","POST /Printer1/WebServices HTTP/1.1 "
"945","14:49:08,783816","192.168.200.77","192.168.200.103","65002","49279","HTTP/XML","866","HTTP/1.1 200 OK "
"962","14:49:08,789772","192.168.200.103","192.168.200.77","49281","65002","HTTP/XML","1006","POST /Printer1/WebServices HTTP/1.1 "
"974","14:49:08,831651","192.168.200.77","192.168.200.103","65002","49281","HTTP/XML","162","HTTP/1.1 200 OK "
"988","14:49:08,837694","192.168.200.77","192.168.200.103","18985","5357","HTTP/XML","1273","POST /90ebd481-4842-4092-beb7-5436846f55c5 HTTP/1.1 "
